Group 0: 9 elements, 698.58 total area
Group 1: 3 elements, 216.25 total area
Group 2: 1 elements, 65.48 total area
Group 3: 38 elements, 2851.55 total area
Group 4: 1 elements, 76.80 total area
Group 5: 11 elements, 859.07 total area
Group 6: 1 elements, 86.04 total area
Group 7: 41 elements, 3177.84 total area
Group 8: 29 elements, 2144.83 total area
Group 9: 2 elements, 143.32 total area
Group 10: 1 elements, 81.73 total area
Group 11: 7 elements, 556.66 total area
Group 12: 1 elements, 71.47 total area
Group 13: 2 elements, 163.36 total area
Group 14: 14 elements, 1030.54 total area
Group 15: 1 elements, 76.80 total area
Group 16: 1 elements, 82.04 total area
Group 17: 2 elements, 161.95 total area
Group 18: 8 elements, 604.69 total area
Group 19: 8 elements, 636.40 total area
Group 20: 7 elements, 559.82 total area
Group 21: 1 elements, 74.64 total area
Group 22: 1 elements, 79.50 total area
Group 23: 1 elements, 68.01 total area
Group 24: 1 elements, 127.97 total area
Group 25: 1 elements, 81.89 total area
Group 26: 2 elements, 157.31 total area
Group 27: 3 elements, 243.23 total area
Group 28: 1 elements, 89.56 total area
Group 29: 1 elements, 72.83 total area
Group 30: 1 elements, 93.61 total area
Group 31: 1 elements, 87.70 total area
Group 32: 4 elements, 314.09 total area
Group 33: 2 elements, 154.89 total area
Average area: 470.31 total area
