Group 0: 2 elements, 155.73 total area
Group 1: 3 elements, 229.51 total area
Group 2: 15 elements, 1199.03 total area
Group 3: 1 elements, 71.30 total area
Group 4: 2 elements, 190.29 total area
Group 5: 2 elements, 162.74 total area
Group 6: 1 elements, 79.92 total area
Group 7: 3 elements, 222.70 total area
Group 8: 20 elements, 1645.13 total area
Group 9: 10 elements, 768.59 total area
Group 10: 2 elements, 163.84 total area
Group 11: 3 elements, 251.15 total area
Group 12: 2 elements, 144.28 total area
Group 13: 3 elements, 224.29 total area
Group 14: 1 elements, 80.68 total area
Group 15: 8 elements, 724.07 total area
Group 16: 1 elements, 72.31 total area
Group 17: 1 elements, 87.54 total area
Group 18: 19 elements, 1623.24 total area
Group 19: 8 elements, 635.29 total area
Group 20: 2 elements, 151.95 total area
Group 21: 1 elements, 71.51 total area
Group 22: 15 elements, 1184.89 total area
Group 23: 4 elements, 318.25 total area
Group 24: 1 elements, 76.78 total area
Group 25: 1 elements, 79.33 total area
Group 26: 1 elements, 75.22 total area
Group 27: 3 elements, 225.12 total area
Group 28: 1 elements, 80.68 total area
Group 29: 1 elements, 70.55 total area
Group 30: 3 elements, 239.79 total area
Group 31: 1 elements, 93.35 total area
Group 32: 2 elements, 171.97 total area
Group 33: 2 elements, 156.10 total area
Group 34: 1 elements, 74.72 total area
Group 35: 1 elements, 81.26 total area
Group 36: 2 elements, 148.16 total area
Group 37: 4 elements, 337.19 total area
Group 38: 3 elements, 232.68 total area
Group 39: 1 elements, 78.63 total area
Group 40: 4 elements, 309.45 total area
Average area: 316.81 total area
