Group 0: 1 elements, 86.96 total area
Group 1: 12 elements, 828.90 total area
Group 2: 5 elements, 373.43 total area
Group 3: 3 elements, 236.31 total area
Group 4: 3 elements, 213.20 total area
Group 5: 7 elements, 506.53 total area
Group 6: 1 elements, 87.51 total area
Group 7: 1 elements, 88.71 total area
Group 8: 2 elements, 172.53 total area
Group 9: 4 elements, 317.74 total area
Group 10: 2 elements, 139.88 total area
Group 11: 2 elements, 143.06 total area
Group 12: 2 elements, 144.23 total area
Group 13: 2 elements, 143.31 total area
Group 14: 2 elements, 146.45 total area
Group 15: 2 elements, 137.10 total area
Group 16: 4 elements, 302.64 total area
Group 17: 1 elements, 69.07 total area
Group 18: 1 elements, 68.56 total area
Group 19: 3 elements, 272.22 total area
Group 20: 3 elements, 220.91 total area
Group 21: 1 elements, 70.85 total area
Group 22: 1 elements, 74.95 total area
Group 23: 2 elements, 147.27 total area
Group 24: 3 elements, 251.17 total area
Group 25: 1 elements, 73.39 total area
Group 26: 1 elements, 66.59 total area
Group 27: 1 elements, 91.18 total area
Group 28: 2 elements, 134.33 total area
Group 29: 1 elements, 70.53 total area
Group 30: 1 elements, 72.62 total area
Group 31: 2 elements, 137.86 total area
Group 32: 1 elements, 68.53 total area
Group 33: 4 elements, 319.62 total area
Group 34: 2 elements, 136.58 total area
Group 35: 13 elements, 927.87 total area
Group 36: 3 elements, 221.48 total area
Group 37: 2 elements, 142.84 total area
Group 38: 3 elements, 225.47 total area
Group 39: 2 elements, 169.76 total area
Group 40: 2 elements, 171.95 total area
Group 41: 3 elements, 244.63 total area
Group 42: 1 elements, 72.44 total area
Group 43: 1 elements, 82.49 total area
Group 44: 1 elements, 81.65 total area
Group 45: 2 elements, 155.79 total area
Group 46: 1 elements, 75.71 total area
Group 47: 2 elements, 139.92 total area
Average area: 190.14 total area
