Group 0: 2 elements, 153.68 total area
Group 1: 4 elements, 305.26 total area
Group 2: 2 elements, 137.28 total area
Group 3: 1 elements, 71.80 total area
Group 4: 1 elements, 74.09 total area
Group 5: 1 elements, 73.30 total area
Group 6: 1 elements, 64.13 total area
Group 7: 1 elements, 81.43 total area
Group 8: 1 elements, 71.84 total area
Group 9: 5 elements, 359.49 total area
Group 10: 4 elements, 319.29 total area
Group 11: 2 elements, 148.54 total area
Group 12: 21 elements, 1564.91 total area
Group 13: 1 elements, 73.95 total area
Group 14: 2 elements, 162.34 total area
Group 15: 1 elements, 77.36 total area
Group 16: 2 elements, 133.77 total area
Group 17: 6 elements, 415.71 total area
Group 18: 1 elements, 70.28 total area
Group 19: 27 elements, 1963.25 total area
Group 20: 1 elements, 75.98 total area
Group 21: 1 elements, 65.80 total area
Group 22: 5 elements, 368.10 total area
Group 23: 1 elements, 76.61 total area
Group 24: 8 elements, 578.43 total area
Group 25: 1 elements, 68.92 total area
Group 26: 2 elements, 152.66 total area
Group 27: 1 elements, 73.81 total area
Group 28: 1 elements, 70.43 total area
Group 29: 1 elements, 79.89 total area
Group 30: 4 elements, 269.19 total area
Group 31: 1 elements, 66.93 total area
Group 32: 1 elements, 90.37 total area
Group 33: 1 elements, 85.04 total area
Group 34: 2 elements, 156.56 total area
Group 35: 1 elements, 80.42 total area
Group 36: 3 elements, 223.29 total area
Group 37: 1 elements, 78.94 total area
Group 38: 1 elements, 71.60 total area
Average area: 232.17 total area
