Group 0: 4 elements, 357.35 total area
Group 1: 2 elements, 156.63 total area
Group 2: 1 elements, 109.78 total area
Group 3: 1 elements, 69.71 total area
Group 4: 5 elements, 435.14 total area
Group 5: 2 elements, 150.93 total area
Group 6: 1 elements, 90.71 total area
Group 7: 1 elements, 84.67 total area
Group 8: 2 elements, 175.98 total area
Group 9: 5 elements, 359.67 total area
Group 10: 7 elements, 550.02 total area
Group 11: 1 elements, 91.24 total area
Group 12: 1 elements, 77.49 total area
Group 13: 1 elements, 92.86 total area
Group 14: 5 elements, 392.15 total area
Group 15: 1 elements, 94.50 total area
Group 16: 1 elements, 106.97 total area
Group 17: 1 elements, 71.60 total area
Group 18: 1 elements, 93.38 total area
Group 19: 1 elements, 82.99 total area
Group 20: 6 elements, 456.83 total area
Group 21: 2 elements, 168.55 total area
Group 22: 1 elements, 84.65 total area
Group 23: 5 elements, 397.24 total area
Group 24: 4 elements, 367.41 total area
Group 25: 1 elements, 91.17 total area
Group 26: 2 elements, 147.48 total area
Group 27: 1 elements, 68.66 total area
Group 28: 1 elements, 68.44 total area
Group 29: 3 elements, 251.16 total area
Group 30: 2 elements, 169.52 total area
Group 31: 1 elements, 78.49 total area
Group 32: 2 elements, 165.05 total area
Group 33: 1 elements, 99.70 total area
Group 34: 1 elements, 77.42 total area
Group 35: 2 elements, 147.12 total area
Group 36: 5 elements, 358.71 total area
Group 37: 1 elements, 81.34 total area
Group 38: 1 elements, 77.85 total area
Group 39: 1 elements, 72.82 total area
Average area: 176.83 total area
